nome,linha,vizinhos;
Jardim Helena-Vila Mara,12;,São Miguel Paulista;Itaim Paulista;
Itaim Paulista,12;,Jardim Helena-Vila Mara;Jardim Romano;
Jardim Romano,12;,Itaim Paulista;Engenheiro Manoel Feio;
Engenheiro Manoel Feio,12;,Jardim Romano;Itaquaquecetuba;
Itaquaquecetuba,12;,Engenheiro Manoel Feio;Aracaré;
Aracaré,12;,Itaquaquecetuba;Calmon Viana;
Guarulhos-Cecap,13;,Engenheiro Goulart;Aeroporto-Guarulhos;
Aeroporto-Guarulhos,13;,Guarulhos-Cecap;;
Oratório,15;,Vila Prudente;São Lucas;
São Lucas,15;,Oratório;Camilo Haddad;
Camilo Haddad,15;,São Lucas;Vila Tolstói;
Vila Tolstói,15;,Camilo Haddad;Vila União;
Vila União,15;,Vila Tolstói;Jardim Planalto;
Jardim Planalto,15;,Vila União;Sapopemba;
Sapopemba,15;,Jardim Planalto;Fazenda da Juta;
Fazenda da Juta,15;,Sapopemba;São Mateus;
São Mateus,15;,Fazenda da Juta;Jardim Colonial;
Jardim Colonial,15;,São Mateus;
